City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
470,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
471,Rio Gallegos,AR,48.25,overcast clouds,-51.6226,-69.2181,Hotel Santa Cruz
472,Abu Dhabi,AE,71.71,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
473,Puerto Maldonado,PE,86.4,scattered clouds,-12.6,-69.1833,Wasai Hotel
475,Portland,US,44.26,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
477,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
478,Thinadhoo,MV,82.38,overcast clouds,0.5333,72.9333,
479,Inongo,CD,76.84,overcast clouds,-1.95,18.2667,Hotel Du Lac
481,Bowen,AU,75.42,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
482,Faya,SA,64.51,few clouds,18.3851,42.4509,املاك خالد الشعشوع
483,Coruripe,BR,87.22,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
484,Bardiyah,LY,54.01,overcast clouds,31.7561,25.0865,بورتو بردية
486,Lethem,GY,80.65,broken clouds,3.3803,-59.7968,Savannah Inn
487,Camocim,BR,88.3,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
492,Mokhotlong,LS,64.8,light rain,-29.2894,29.0675,Tsabi's Guest House
493,Dingle,PH,74.16,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
494,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
495,La Libertad,EC,82.06,few clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
496,Abha,SA,64.22,few clouds,18.2164,42.5053,Abha Hotel
497,Chadiza,ZM,72.55,light rain,-14.0678,32.4392,Sankhani Guest House
498,Bagado,CO,74.55,broken clouds,5.4116,-76.4152,Hotel San Jose
501,Divnomorskoye,RU,45.25,overcast clouds,44.5011,38.1353,Primorskiy
502,Bara,NG,87.37,clear sky,10.3744,10.7288,
503,Kimbe,PG,75.49,heavy intensity rain,-5.5502,150.1429,Kimbe Bay Hotel
504,Whitianga,NZ,69.03,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
505,Namatanai,PG,78.8,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
506,Pokhara,NP,53.01,overcast clouds,28.2333,83.9833,Butterfly Lodge
507,Kutum,SD,76.95,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
508,Jutai,BR,78.66,overcast clouds,-5.1833,-68.9,
509,Amapa,BR,78.64,overcast clouds,1.0,-52.0,
510,Umm Lajj,SA,71.22,clear sky,25.0213,37.2685,Moon light Furnished Units
511,Quatre Cocos,MU,80.71,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
512,Maragogi,BR,86.25,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
514,Bhanvad,IN,67.44,clear sky,21.9264,69.7736,Mahalaxmi farshan
516,Norsup,VU,80.47,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
517,Yeppoon,AU,76.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
519,Pachino,IT,62.64,clear sky,36.7186,15.0907,Pietra Bianca B&B
520,Wailuku,US,69.96,clear sky,20.8911,-156.5047,Maui Beach Hotel
521,New Glasgow,CA,44.78,overcast clouds,45.5834,-62.6486,"Holiday Inn Express Stellarton-New Glasgow, an IHG Hotel"
522,La Paz,BO,55.38,broken clouds,-16.5,-68.15,Hotel Sagarnaga
523,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
526,Rancho Palos Verdes,US,57.67,clear sky,33.7445,-118.387,Terranea Resort
529,Sorong,ID,80.76,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
531,Haifa,IL,63.54,clear sky,32.8156,34.9892,Dan Panorama Haifa Hotel
532,Ukiah,US,49.01,overcast clouds,39.1502,-123.2078,Hampton Inn Ukiah
533,Wana,PK,43.86,clear sky,32.2989,69.5725,Rest House at Wana Camp
536,Marsa Matruh,EG,56.68,overcast clouds,31.3525,27.2453,Beau Site
538,Tamalin,MX,73.02,few clouds,21.35,-97.8,Taller Tony
540,Pandan,PH,76.75,overcast clouds,14.0453,124.1694,Bonifacio Lodge
541,Maningrida,AU,77.74,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
543,Sharjah,AE,73.38,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
544,Mangrol,IN,69.78,few clouds,21.1167,70.1167,Hotel The Royal Honours
