,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
180,Andenes,NO,69.3143,16.1194,28.38,74,20,20.71,few clouds
181,Svetlogorsk,BY,52.6333,29.7333,26.06,82,61,8.5,broken clouds
182,Tarko-Sale,RU,64.9225,77.785,-11.38,94,6,13.38,clear sky
183,Trofors,NO,65.5333,13.4063,34.95,92,100,4.25,overcast clouds
184,Pangnirtung,CA,66.1451,-65.7125,-23.04,98,100,3.94,overcast clouds
185,Tiznit,MA,29.5833,-9.5,54.77,51,3,2.35,clear sky
186,Boa Esperanca Do Sul,BR,-21.9925,-48.3908,67.82,92,3,4.94,clear sky
187,Saint George,US,37.1041,-113.5841,59.59,17,0,3.44,clear sky
188,Horta,PT,38.5333,-28.6333,60.78,95,100,13.2,overcast clouds
189,Iquique,CL,-20.2208,-70.1431,69.84,73,9,3.11,clear sky
190,Ponta Delgada,PT,37.7333,-25.6667,63.5,82,75,18.41,broken clouds
191,Illapel,CL,-31.6308,-71.1653,69.57,60,0,2.26,clear sky
192,Kokkola,FI,63.8385,23.1307,24.93,93,100,5.75,overcast clouds
193,Gornopravdinsk,RU,60.05,69.9,0.46,94,100,5.99,overcast clouds
194,Urucara,BR,-2.5364,-57.76,73.53,99,100,1.66,moderate rain
195,Norrtalje,SE,59.758,18.705,36.23,73,100,13.87,overcast clouds
196,Ushtobe,KZ,45.2514,77.9838,20.17,93,100,3.06,overcast clouds
197,Padang,ID,-0.9492,100.3543,86.05,62,95,2.3,overcast clouds
198,Beloha,MG,-25.1667,45.05,72.28,84,0,12.91,clear sky
199,Adet,ET,11.2644,37.4888,57.51,66,31,3.42,scattered clouds
200,Ambatolampy,MG,-19.3833,47.4167,55.17,79,72,4.41,broken clouds
201,Bambous Virieux,MU,-20.3428,57.7575,79.05,89,40,10.36,light rain
202,Ilo,PE,-17.6394,-71.3375,70.0,81,100,4.5,overcast clouds
203,Pallasovka,RU,50.05,46.8833,17.19,95,20,10.76,few clouds
204,Iskateley,RU,67.6803,53.1512,7.97,96,99,9.19,overcast clouds
205,Goderich,CA,43.7501,-81.7165,13.91,79,93,6.91,overcast clouds
206,Camacha,PT,33.0833,-16.3333,59.76,77,40,6.91,scattered clouds
207,Virginia Beach,US,36.8529,-75.978,57.24,63,29,1.01,scattered clouds
208,Cap Malheureux,MU,-19.9842,57.6142,79.29,88,19,3.0,few clouds
209,Teguldet,RU,57.3064,88.1667,-0.67,86,6,10.65,clear sky
210,Hualmay,PE,-11.0964,-77.6139,70.74,80,87,7.65,overcast clouds
211,Gat,IL,31.61,34.7642,54.39,20,0,0.56,clear sky
212,Senneterre,CA,48.3835,-77.2328,-16.38,100,55,2.46,broken clouds
213,Lima,PE,-12.0432,-77.0282,71.38,70,0,10.36,clear sky
214,Ortona,IT,42.3496,14.4039,45.12,84,78,5.21,broken clouds
215,Manta,EC,-0.95,-80.7333,76.78,88,0,2.3,clear sky
216,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.96,88,100,3.42,light rain
217,Turukhansk,RU,65.8167,87.9833,-11.9,82,1,8.81,clear sky
218,Akureyri,IS,65.6835,-18.0878,19.33,68,100,5.75,overcast clouds
219,Namibe,AO,-15.1961,12.1522,73.72,80,100,0.69,overcast clouds
220,Numan,NG,9.4667,12.0333,71.19,24,85,2.46,overcast clouds
221,Marrakesh,MA,31.6315,-8.0083,50.07,57,46,1.14,scattered clouds
222,Damara,CF,4.9608,18.7035,72.82,25,53,2.86,broken clouds
223,Miraflores,MX,19.2167,-98.8083,62.02,54,71,5.59,broken clouds
224,Adrar,MR,20.5022,-10.0711,60.01,28,68,9.28,broken clouds
225,Areosa,PT,41.7178,-8.8571,47.46,88,43,8.23,scattered clouds
226,Kuytun,RU,54.3419,101.5036,-18.27,99,80,3.91,broken clouds
227,Changji,CN,44.0167,87.3167,21.99,79,75,2.24,mist
228,Coihaique,CL,-45.5752,-72.0662,66.81,68,18,3.44,few clouds
229,Carauari,BR,-4.8828,-66.8958,73.51,98,69,2.46,broken clouds
230,Atasu,KZ,48.6814,71.6433,20.61,94,100,16.87,light snow
231,Maniitsoq,GL,65.4167,-52.9,10.11,85,100,9.84,overcast clouds
232,Sakakah,SA,29.9697,40.2064,40.57,45,0,3.87,clear sky
233,Oksfjord,NO,70.2396,22.3479,23.92,78,9,9.98,clear sky
234,Lagoa,PT,39.05,-27.9833,60.84,94,100,19.15,overcast clouds
235,Lasa,IT,46.6166,10.7002,29.66,36,97,2.04,overcast clouds
236,Praia,CV,14.9215,-23.5087,73.94,64,0,20.71,clear sky
237,Grand Gaube,MU,-20.0064,57.6608,79.2,88,18,3.0,few clouds
238,Kiruna,SE,67.8557,20.2251,-10.28,84,100,2.3,overcast clouds
239,Coldwater,US,41.9403,-85.0005,18.97,73,100,6.91,overcast clouds
240,Encruzilhada Do Sul,BR,-30.5439,-52.5219,66.79,85,9,2.1,clear sky
241,Petrolina,BR,-9.3986,-40.5008,77.05,88,0,3.44,clear sky
242,Bubaque,GW,11.2833,-15.8333,79.03,61,0,10.74,clear sky
243,Lodja,CD,-3.4833,23.4333,69.76,99,100,3.69,heavy intensity rain
244,Tshikapa,CD,-6.4167,20.8,68.95,97,93,1.68,overcast clouds
245,Chapais,CA,49.7834,-74.8492,-20.42,100,57,3.67,broken clouds
246,Portsmouth,GB,50.799,-1.0913,48.13,92,100,14.0,overcast clouds
247,Constitucion,CL,-35.3333,-72.4167,58.5,91,1,8.93,clear sky
248,Ngorongoro,TZ,-3.2397,35.4875,52.57,90,100,0.38,overcast clouds
249,Wanlaweyn,SO,2.6185,44.8938,71.76,82,55,8.43,broken clouds
250,Bronnoysund,NO,65.4625,12.1997,35.6,80,100,8.05,overcast clouds
251,Vryheid,ZA,-27.7695,30.7917,58.55,69,3,3.13,clear sky
252,Santa Barbara,US,34.7333,-120.0343,67.14,30,0,0.0,clear sky
253,Limon,CR,10.0,-83.0333,76.69,82,7,3.38,clear sky
254,Kisesa,TZ,-3.0833,34.15,63.03,89,100,6.38,overcast clouds
255,Salalah,OM,17.0151,54.0924,73.49,64,40,3.44,scattered clouds
256,Belmonte,BR,-15.8631,-38.8828,79.3,83,87,3.44,overcast clouds
257,Maltahohe,NA,-24.8333,16.9833,68.63,72,78,5.91,broken clouds
258,Barcelos,PT,41.5388,-8.6151,46.92,94,26,3.67,scattered clouds
259,Nsoko,SZ,-27.0333,31.95,65.35,97,3,3.0,clear sky
260,Kalisz,PL,51.7611,18.091,29.71,63,99,8.57,overcast clouds
261,Piacabucu,BR,-10.4056,-36.4344,80.06,79,2,12.84,clear sky
262,Oranjemund,NA,-28.55,16.4333,64.51,91,0,10.67,clear sky
263,Sihora,IN,23.4833,80.1167,51.13,31,0,2.37,clear sky
264,Saint-Augustin,CA,51.226,-58.6502,32.67,99,100,9.15,light snow
265,Yabrud,SY,33.9674,36.6574,41.52,33,0,1.95,clear sky
266,Magugu,TZ,-4.0167,35.7667,65.93,87,100,2.24,overcast clouds
267,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,89,100,10.51,overcast clouds
268,Sisimiut,GL,66.9395,-53.6735,9.19,95,100,4.68,light snow
269,Canton,CN,23.1167,113.25,57.0,82,100,10.18,overcast clouds
270,Parana,AR,-31.732,-60.5238,65.55,59,8,8.03,clear sky
271,Syracuse,IT,37.0881,15.2792,48.88,85,10,9.35,clear sky
272,Nefteyugansk,RU,61.0998,72.6035,-13.86,97,100,8.72,overcast clouds
273,Bathsheba,BB,13.2167,-59.5167,77.61,73,40,18.41,scattered clouds
274,Usinsk,RU,65.9939,57.5281,7.92,95,100,15.17,light snow
275,Toktogul,KG,41.8708,72.9402,28.6,89,99,0.89,overcast clouds
276,Vestmannaeyjar,IS,63.4427,-20.2734,32.32,83,94,12.12,light snow
277,Maputo,MZ,-25.9653,32.5892,75.22,84,40,3.44,scattered clouds
278,Plymouth,US,41.8334,-70.8328,44.89,55,0,12.66,clear sky
279,Jacqueville,CI,5.2052,-4.4146,80.51,85,17,8.9,few clouds
280,Jacareacanga,BR,-6.2222,-57.7528,73.47,98,100,2.42,overcast clouds
281,Huarmey,PE,-10.0681,-78.1522,72.01,78,63,7.27,broken clouds
282,Icatu,BR,-2.7758,-44.0658,81.03,93,85,5.95,overcast clouds
283,Borovoy,RU,55.4333,86.0833,-10.12,84,71,6.71,broken clouds
284,Portage,US,41.1667,-81.1998,23.83,63,100,4.0,overcast clouds
285,Saint Anthony,US,45.0205,-93.218,6.26,68,100,4.61,overcast clouds
286,Igarka,RU,67.4667,86.5833,-12.05,83,1,10.36,clear sky
287,Betafo,MG,-19.8333,46.85,56.07,79,40,3.78,scattered clouds
288,Pozoblanco,ES,38.3791,-4.8483,41.58,93,68,4.23,broken clouds
289,Chilca,PE,-12.5211,-76.7372,73.08,85,99,5.32,overcast clouds
290,Carutapera,BR,-1.195,-46.02,76.21,93,94,5.26,overcast clouds
291,Nuevitas,CU,21.5453,-77.2644,75.33,82,0,7.85,clear sky
292,Rawson,AR,-43.3002,-65.1023,71.44,33,56,9.51,broken clouds
293,Westport,US,41.1415,-73.3579,48.24,57,75,10.36,broken clouds
294,Naliya,IN,23.2667,68.8333,65.7,63,0,4.74,clear sky
295,Cayenne,GF,4.9333,-52.3333,79.09,86,100,5.01,overcast clouds
296,Nieuw Amsterdam,SR,5.8833,-55.0833,78.03,89,97,7.18,overcast clouds
297,Payyannur,IN,12.1,75.2,79.09,55,10,3.98,clear sky
298,Serebryansk,KZ,49.6925,83.2892,15.35,95,100,5.75,light snow
299,Nuuk,GL,64.1835,-51.7216,11.97,92,100,8.77,overcast clouds
300,Bardiyah,LY,31.7561,25.0865,53.13,72,0,6.04,clear sky
301,Shelburne,CA,44.0787,-80.2041,6.76,84,48,5.17,scattered clouds
302,Joinville,BR,-26.3044,-48.8456,76.95,100,20,1.14,few clouds
303,Balykshi,KZ,47.0667,51.8667,35.6,100,100,13.42,mist
304,Marsabit,KE,2.3284,37.9899,67.32,38,91,10.63,overcast clouds
305,Hambantota,LK,6.1241,81.1185,75.54,100,75,6.91,broken clouds
306,Loralai,PK,30.3705,68.598,46.67,34,0,1.52,clear sky
307,Astorga,BR,-23.2325,-51.6656,77.4,74,1,4.05,clear sky
308,Krasnoznamensk,RU,55.5994,37.0386,30.18,74,75,15.66,broken clouds
309,San Isidro,PE,-12.1167,-77.05,72.5,72,0,10.36,clear sky
310,Bafq,IR,31.6128,55.4107,47.62,58,98,12.73,overcast clouds
311,Matay,EG,28.419,30.7792,51.53,47,0,6.11,clear sky
312,Berea,US,41.3662,-81.8543,23.9,73,100,10.36,overcast clouds
313,Tobermory,CA,45.2501,-81.6665,6.87,77,99,9.6,overcast clouds
314,Nantucket,US,41.2835,-70.0995,46.51,78,0,11.5,clear sky
315,Estancia,BR,-11.2683,-37.4383,81.88,90,68,5.14,broken clouds
316,Muros,ES,42.7762,-9.0603,52.84,90,91,15.61,overcast clouds
317,Saint-Leu,RE,-21.15,55.2833,77.83,77,5,0.98,clear sky
318,Mitu,CO,1.1983,-70.1733,73.38,94,100,1.66,overcast clouds
