City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Talnakh,RU,2022-02-01 17:47:55,69.4865,88.3972,6.21,96,100,9.33
172,Great Falls,US,2022-02-01 17:47:55,47.5002,-111.3008,19.92,85,75,14.97
173,Tucupita,VE,2022-02-01 17:47:55,9.0622,-62.051,88.83,47,73,7.43
174,Ucluelet,CA,2022-02-01 17:46:18,48.9329,-125.5528,32.31,69,39,2.86
175,Panorama,GR,2022-02-01 17:47:56,40.5878,23.0315,42.91,85,75,1.01
176,Libertador General San Martin,AR,2022-02-01 17:47:56,-23.8064,-64.7876,96.98,31,45,9.06
177,Awjilah,LY,2022-02-01 17:47:57,29.1081,21.2869,60.1,34,65,10.58
178,San Antonio,US,2022-02-01 17:42:59,29.4241,-98.4936,67.48,75,40,0.0
179,Nikolskoye,RU,2022-02-01 17:47:57,59.7035,30.7861,26.49,100,100,2.42
180,Tuktoyaktuk,CA,2022-02-01 17:47:58,69.4541,-133.0374,-20.2,76,75,4.61
181,Caravelas,BR,2022-02-01 17:48:58,-17.7125,-39.2481,86.34,61,100,10.96
182,Marsabit,KE,2022-02-01 17:48:58,2.3284,37.9899,74.95,38,88,6.46
183,Ruidoso,US,2022-02-01 17:48:58,33.3317,-105.673,54.05,24,0,0.0
184,Meulaboh,ID,2022-02-01 17:48:59,4.1363,96.1285,76.37,87,73,4.61
185,Nang Rong,TH,2022-02-01 17:48:59,14.6377,102.7914,77.38,66,61,4.97
186,Filingue,NE,2022-02-01 17:49:00,14.3521,3.3168,72.99,8,4,8.25
187,Nizhnyaya Salda,RU,2022-02-01 17:49:00,58.0776,60.7202,25.5,85,100,9.42
188,Zyryanka,RU,2022-02-01 17:49:00,65.75,150.85,-10.21,93,100,13.65
189,Invermere,CA,2022-02-01 17:49:01,50.5167,-116.0354,19.42,89,99,2.13
190,Salihorsk,BY,2022-02-01 17:49:01,52.7876,27.5415,24.71,92,100,9.91
191,Ribeira Grande,PT,2022-02-01 17:49:01,38.5167,-28.7,63.0,72,20,18.41
192,Calbuco,CL,2022-02-01 17:49:02,-41.768,-73.1273,70.81,73,99,2.8
193,Mangrol,IN,2022-02-01 17:49:02,21.1167,70.1167,70.77,80,0,8.21
194,Phalodi,IN,2022-02-01 17:49:02,27.1333,72.3667,66.4,23,0,6.11
195,Avarua,CK,2022-02-01 17:49:03,-21.2078,-159.775,78.85,89,20,12.66
196,Mackay,AU,2022-02-01 17:49:03,-21.15,149.2,76.68,94,40,0.0
197,Dharchula,IN,2022-02-01 17:49:03,29.85,80.5333,43.38,40,11,7.96
198,Laukaa,RU,2022-02-01 17:49:04,58.7372,29.8453,18.21,96,99,4.88
199,Port Hardy,CA,2022-02-01 17:45:08,50.6996,-127.4199,38.75,100,75,4.61
200,Avera,US,2022-02-01 17:49:04,33.194,-82.5271,60.31,50,0,9.46
201,Ponta Delgada,PT,2022-02-01 17:49:04,37.7333,-25.6667,64.51,67,40,10.36
202,Gat,IL,2022-02-01 17:49:03,31.61,34.7642,53.4,100,8,6.31
203,Puerto Baquerizo Moreno,EC,2022-02-01 17:49:05,-0.9,-89.6,81.59,74,75,10.36
204,Ancud,CL,2022-02-01 17:49:05,-41.8697,-73.8203,67.53,77,93,8.95
205,Tecoanapa,MX,2022-02-01 17:49:06,16.5167,-98.75,82.63,57,0,10.54
206,Vila Velha,BR,2022-02-01 17:49:06,-20.3297,-40.2925,94.95,49,40,10.36
207,Muros,ES,2022-02-01 17:49:07,42.7762,-9.0603,60.84,58,0,11.12
208,Inhambane,MZ,2022-02-01 17:49:07,-23.865,35.3833,78.44,73,5,10.22
209,Ridgecrest,US,2022-02-01 17:49:07,35.6225,-117.6709,57.02,20,94,1.01
210,Witney,GB,2022-02-01 17:45:51,51.7836,-1.4854,54.25,74,40,10.36
211,Komsomolskiy,UZ,2022-02-01 17:49:08,40.4272,71.7189,31.42,74,23,4.61
212,Jamame,SO,2022-02-01 17:49:08,0.0722,42.7506,77.94,85,99,12.3
213,Nadym,RU,2022-02-01 17:49:09,65.5333,72.5167,-8.5,99,95,6.6
214,Mecca,SA,2022-02-01 17:49:09,21.4267,39.8261,69.22,39,4,7.18
215,Anstruther,GB,2022-02-01 17:49:09,56.2231,-2.7023,48.34,66,0,18.41
216,Quatre Cocos,MU,2022-02-01 17:49:10,-20.2078,57.7625,80.71,92,100,29.89
217,Ganzhou,CN,2022-02-01 17:49:10,28.8184,115.4327,39.45,95,100,8.14
218,Los Llanos De Aridane,ES,2022-02-01 17:49:11,28.6585,-17.9182,69.12,70,40,1.01
219,Carnarvon,AU,2022-02-01 17:49:11,-24.8667,113.6333,77.07,78,45,20.71
220,Khani,GE,2022-02-01 17:49:12,41.9563,42.9566,38.77,80,78,8.25
221,Bilibino,RU,2022-02-01 17:49:12,68.0546,166.4372,6.24,64,100,5.97
222,Ambilobe,MG,2022-02-01 17:49:12,-13.2,49.05,74.21,94,100,0.85
223,Reims,FR,2022-02-01 17:49:13,49.1667,4.0833,47.98,87,100,10.36
224,Pavelets,RU,2022-02-01 17:49:13,53.7883,39.246,24.12,91,100,13.56
225,Victoria,HK,2022-02-01 17:46:24,22.2855,114.1577,62.26,87,99,1.01
226,Kirakira,SB,2022-02-01 17:50:14,-10.4544,161.9205,79.34,84,98,4.43
227,Margate,GB,2022-02-01 17:50:14,51.3813,1.3862,55.74,66,92,10.0
228,Saint-Philippe,RE,2022-02-01 17:50:15,-21.3585,55.7679,78.39,90,60,21.32
229,Touros,BR,2022-02-01 17:50:15,-5.1989,-35.4608,90.5,63,21,14.14
230,Elko,US,2022-02-01 17:50:16,41.0002,-115.5012,24.06,69,0,3.0
231,Pandan,PH,2022-02-01 17:50:16,14.0453,124.1694,76.84,87,99,16.69
232,Buraydah,SA,2022-02-01 17:50:16,26.326,43.975,55.85,33,0,7.76
233,Pointe-Noire,CG,2022-02-01 17:50:17,-4.7761,11.8635,82.47,83,20,11.5
234,Salamiyah,SY,2022-02-01 17:50:17,35.0113,37.0532,50.5,69,81,4.5
235,Salalah,OM,2022-02-01 17:50:17,17.0151,54.0924,70.45,60,88,3.02
236,Yulara,AU,2022-02-01 17:50:18,-25.2406,130.9889,67.84,100,100,12.66
237,Kardla,EE,2022-02-01 17:50:18,58.9978,22.7492,22.05,84,100,0.98
238,Kavaratti,IN,2022-02-01 17:50:19,10.5669,72.642,80.37,69,15,6.87
239,Beaufort,MY,2022-02-01 17:50:19,5.3473,115.7455,80.76,91,69,3.67
240,Almaznyy,RU,2022-02-01 17:50:20,48.0448,40.045,32.14,95,83,9.44
241,Valparaiso,CL,2022-02-01 17:50:20,-33.0393,-71.6273,69.44,64,0,8.05
242,Praia,CV,2022-02-01 17:50:21,14.9215,-23.5087,81.14,50,89,12.66
243,Ola,RU,2022-02-01 17:50:21,59.5833,151.2833,-1.93,82,20,12.08
244,Fort Saint James,CA,2022-02-01 17:50:22,54.4333,-124.25,0.91,93,100,2.51
245,Collie,AU,2022-02-01 17:50:22,-33.3667,116.15,57.97,70,0,12.93
246,Dymer,UA,2022-02-01 17:50:23,50.7865,30.3026,30.34,93,71,9.22
247,Bandiagara,ML,2022-02-01 17:50:23,14.3501,-3.6104,80.67,6,72,13.13
248,Luz,BR,2022-02-01 17:50:23,-19.8014,-45.6856,80.08,70,86,3.09
249,Bitam,GA,2022-02-01 17:50:24,2.076,11.5007,78.78,47,100,2.55
250,Labuhan,ID,2022-02-01 17:50:24,-6.8844,112.2051,77.56,88,98,4.5
251,Yukhnov,RU,2022-02-01 17:50:24,54.7444,35.2297,20.52,93,99,7.49
252,Kokopo,PG,2022-02-01 17:50:25,-4.352,152.2633,76.53,87,100,9.04
253,Hofn,IS,2022-02-01 17:50:25,64.2539,-15.2082,24.04,53,0,7.31
254,Rostovka,RU,2022-02-01 17:50:26,55.3842,71.8891,19.33,96,99,5.95
255,Carutapera,BR,2022-02-01 17:50:26,-1.195,-46.02,81.43,81,100,8.41
256,Dosso,NE,2022-02-01 17:50:27,13.049,3.1937,73.09,10,0,8.86
257,Pulandian,CN,2022-02-01 17:50:27,39.3953,121.9669,14.13,83,4,3.58
258,Klobuck,PL,2022-02-01 17:50:27,50.9008,18.9367,34.16,79,100,15.03
259,Myaundzha,RU,2022-02-01 17:50:28,63.0494,147.1858,0.01,94,100,3.38
260,Blackwater,AU,2022-02-01 17:50:28,-23.5833,148.8833,78.19,69,100,7.85
261,Selikhino,RU,2022-02-01 17:50:28,50.3672,137.4996,-2.96,99,99,4.09
262,Kungalv,SE,2022-02-01 17:50:29,57.871,11.9805,31.68,92,99,5.95
263,Bengkulu,ID,2022-02-01 17:50:29,-3.8004,102.2655,74.12,90,100,7.72
264,Songea,TZ,2022-02-01 17:50:29,-10.6833,35.65,67.35,94,40,0.0
265,Usta Muhammad,PK,2022-02-01 17:50:30,28.1794,68.0445,64.53,28,0,5.12
266,Saint George,US,2022-02-01 17:50:30,37.1041,-113.5841,50.47,28,1,3.0
267,Shimoda,JP,2022-02-01 17:50:31,34.6667,138.95,38.1,62,4,29.97
268,Roald,NO,2022-02-01 17:50:31,62.5833,6.1333,35.33,100,75,10.36
269,Tortoli,IT,2022-02-01 17:50:32,39.9256,9.6572,53.42,58,20,17.27
270,Lavrentiya,RU,2022-02-01 17:50:32,65.5833,-171.0,3.34,70,8,20.11
271,Boyolangu,ID,2022-02-01 17:51:32,-8.1181,111.8935,74.59,91,97,4.72
272,Jacksonville Beach,US,2022-02-01 17:51:33,30.2947,-81.3931,72.14,63,40,1.99
273,Yabrud,SY,2022-02-01 17:51:33,33.9674,36.6574,40.66,73,72,3.74
274,Maneadero,MX,2022-02-01 17:51:33,31.7167,-116.5667,58.1,74,85,3.0
275,Georgetown,MY,2022-02-01 17:51:34,5.4112,100.3354,83.95,82,20,5.01
276,Kirovskiy,RU,2022-02-01 17:51:34,45.0917,133.5136,1.67,98,100,3.69
277,Cabo San Lucas,MX,2022-02-01 17:47:05,22.8909,-109.9124,75.61,54,0,1.99
278,Miyazu,JP,2022-02-01 17:51:34,35.5333,135.1833,37.27,75,85,15.68
279,Atar,MR,2022-02-01 17:51:35,20.5169,-13.0499,87.75,8,68,12.62
280,Codrington,AU,2022-02-01 17:51:35,-38.2667,141.9667,55.96,55,65,13.69
281,Plopeni,RO,2022-02-01 17:51:36,45.0667,25.9833,39.69,71,100,3.24
282,Zhezkazgan,KZ,2022-02-01 17:51:36,47.8043,67.7144,8.58,96,95,9.17
283,Saiha,IN,2022-02-01 17:51:36,22.4833,92.9667,55.89,53,21,2.21
284,Ketchikan,US,2022-02-01 17:48:42,55.3422,-131.6461,31.98,80,40,9.22
285,Ust-Tsilma,RU,2022-02-01 17:51:37,65.441,52.1498,-1.68,99,91,4.34
286,Moree,AU,2022-02-01 17:51:37,-29.4667,149.85,77.02,78,90,4.61
287,Evensk,RU,2022-02-01 17:51:38,61.95,159.2333,20.12,81,100,28.66
288,Coihaique,CL,2022-02-01 17:48:02,-45.5752,-72.0662,67.95,37,75,12.66
289,Umuarama,BR,2022-02-01 17:51:38,-23.7664,-53.325,89.4,39,15,3.53
